Company Name	Exchange:Ticker	Market Capitalization	Total Enterprise Value	Total Revenue	EBITDA	P_LTM Diluted EPS Before Extra	Diluted EPS before Extra 1 Yr Growth	Diluted EPS before Extra 5 Yr CAGR	Diluted EPS before Extra 10 Yr CAGR	Day Close Price	Shares Outstanding	Dividend Yield	Current Ratio	Total Equity	Total Assets	Total Liabilities	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Diluted EPS Incl Extra Items	Diluted EPS Excl Extra Items	Return on Equity	Return on Assets	Gross Margin	Earnings from Cont Ops Margin	Total Debt_Equity	Est Annual EPS Growth  1 Yr	Est Annual EPS Growth  2 Yr	LT EPS Growth Rate
"India Globalization Capital, Inc. (AMEX:IGC)"	AMEX:IGC	11.4	11.6	0.58	1.38	NM	NM	NM	NM	0.374	30.6		2.78	7.35	11.3	3.93	0.073	0.073	0.073	0.073	17.4	8.52	37.6	NM	36			
"Industrial Services of America, Inc. (NasdaqCM:IDSA)"	NasdaqCM:IDSA	10.9	17.2	43.5	0.531	NM	NM			1.35	8.07		1.25	12.3	21.7	9.62	0.401	0.401	0.258	0.258	16	5.43	5.81	4.77	56.5			
"Industrias Bachoco, S.A.B. de C.V. (NYSE:IBA)"	NYSE:IBA	"2,915.50"	"2,308.10"	"2,859.40"	312.3	13.7	24.5	19	16.3	58.31	50	1.52	3.37	"1,539.70"	"2,345.30"	650.5	3.83	3.83	4.26	4.26	13.3	7.29	18.1	7.46	12.3	8.98	16.8	
Infinera Corporation (NasdaqGS:INFN)	NasdaqGS:INFN	"1,667.70"	"1,539.20"	800.8	5.6	NM				11.38	146.5		3.25	762.3	"1,180.40"	431.6	0.17	0.17	0.533	0.533	9.87	3.47	42.6	9.58	18.2		60.1	14.2
"Infinity Pharmaceuticals, Inc. (NasdaqGS:INFI)"	NasdaqGS:INFI	69.6	5.82	9.47	88.2	NM	NM			1.38	50.4		7.59	82.5	103.6	29.8	0.607	0.607	0.002	0.002	0.13	33.3		0.93				
Infinity Property and Casualty Corporation (NasdaqGS:IPCC)	NasdaqGS:IPCC	"1,068.60"	"1,321.00"	"1,546.30"	116.9	23.3	2.11	7.3	0.479	96.7	11.1	2.4	0.679	699.2	"2,439.30"	"1,730.10"	3.88	3.88	4.15	4.15	6.57	2.09	5.87	2.98	45.4	16.7	17.6	9
"Information Services Group, Inc. (NasdaqGM:III)"	NasdaqGM:III	178.7	267.7	233.1	14	NM				4.15	43		2.11	58.4	229.3	169.9	0.18	0.18	0.169	0.169	11.7	1.7	39.2	2.7	203.4	107.4	53.9	14
InfoSonics Corporation (NasdaqCM:IFON)	NasdaqCM:IFON	6.33	5.03	36	2.63	NM	NM			0.44	14.4		2.84	10.6	14.9	5.07	0.2	0.2	0.214	0.214	26.6	10.1	10.4	8.45				
Infosys Limited (NSEI:INFY)	NSEI:INFY	"34,568.90"	"29,501.00"	"10,208.00"	"2,765.00"	16	4.29	4.54	9.58	15.12	"2,285.70"	2.65	3.83	"10,637.00"	"12,854.00"	"2,217.00"	0.936	0.936	0.936	0.936	21.4	13	35.4	21		0.97	5.25	8.96
InfuSystem Holdings Inc. (AMEX:INFU)	AMEX:INFU	41	76	64.1	8.41	NM				1.8	22.8		0.392	50.7	91.9	42.3	0.01	0.01	0.082	0.082	3.47	0.808	73.1	2.72	70.9			
ING Groep N.V. (ENXTAM:INGA)	ENXTAM:INGA	"69,819.90"		"18,567.20"		12.4	22	16.6		17.99	"3,881.00"	4.2		"50,525.70"	"946,123.80"	"891,166.60"	1.36	1.24	1.34	1.36	9.93	0.571		28.8		1.77	1.83	6.53
IngersollRand Plc (NYSE:IR)	NYSE:IR	"23,766.60"	"26,586.60"	"13,615.40"	"1,937.50"	16.9	94.1	26.6	8.62	92.83	256	1.72	1.53	"6,718.30"	"17,259.50"	"10,605.60"	5.65	5.52	5.5	5.51	23.3	5.93	31.1	10.7	61.2	9.72	11.3	10.7
Ingevity Corporation (NYSE:NGVT)	NYSE:NGVT	"2,425.20"	"2,904.50"	927.2	204.6	54.3	32.2			57.55	42.1		2.53	134.6	861.5	702.7	0.83	0.83	1.06	1.06	16.1	12.4	30.4	6.01	316.2	11	13.4	12.5
"Ingles Markets, Incorporated (NasdaqGS:IMKT.A)"	NasdaqGS:IMKT.A	609.8	"1,480.20"	"3,848.50"	230.6	12.2	13.1	8.02	1.87	30.1	20.3	2.19	1.79	470.2	"1,703.20"	"1,216.50"	2.68	2.68	2.46	2.46	10.6	4.49	24.3	1.3	180.1	4.85	3.12	6
Ingredion Incorporated (NYSE:INGR)	NYSE:INGR	"8,543.20"	"10,136.20"	"5,797.00"	"1,040.00"	18.5	5.39	7.21	12.6	119.25	71.6	1.68	2.39	"2,595.00"	"5,799.00"	"3,190.00"	6.55	6.55	6.46	6.46	19.9	9.52	24.5	8.45	77.3	6.08	7.01	
"InnerWorkings, Inc. (NasdaqGS:INWK)"	NasdaqGS:INWK	618.8	702.6	"1,087.00"	44.8	51.2	NM	8.21	0.349	11.65	53.1		1.62	264.6	598	328.4	0.08	0.08	0.228	0.228	4.75	3.94	24.5	1.15	42.2	28.9	23.5	22
Innocoll Holdings plc (NasdaqGM:INNL)	NasdaqGM:INNL	67.7	90.7	4.02	50.4	NM	NM			2.25	30.1		1.01	3.2	31.5	44.8	2.12	2.12	1.64	1.64	NM	94.1	98.6		NM			
Innodata Inc. (NasdaqGM:INOD)	NasdaqGM:INOD	40.1	22.5	62.3	1.75	NM	NM			1.55	25.9		1.87	30.2	48.6	19.2	0.22	0.22	0.29	0.29	23.5	6.1	28.4	12.2	1.04			
"Innophos Holdings, Inc. (NasdaqGS:IPHS)"	NasdaqGS:IPHS	837.1	996.3	701.7	114	18.4	69.6	9.79		42.97	19.5	4.47	3.27	347.2	637.6	289.3	2.44	2.44	2.33	2.33	13.5	7.26	20.9	6.56	54.3	2.75	5.9	7.75
Innospec Inc. (NasdaqGS:IOSP)	NasdaqGS:IOSP	"1,561.30"	"1,759.90"	965.6	138.3	19.8	33.7	8.92	17.2	64.7	24.1	1.17	2.15	653.8	"1,225.40"	548.9	3.33	3.33	3.26	3.26	12.3	5.89	36.4	8.24	36	11	7.2	7.5
"Innovative Solutions and Support, Inc. (NasdaqGS:ISSC)"	NasdaqGS:ISSC	65.6	41.9	20.7	0.948	12.3	NM			3.91	16.8		9.17	32.8	41.6	3.84	0.117	0.117	0.318	0.318	15.2	2.23	53.8	25.8				
"Innoviva, Inc. (NasdaqGS:INVA)"	NasdaqGS:INVA	"1,412.90"	"1,952.10"	149.9	120.9	20.4	NM			12.92	109.4	0	10.5	353	391.9	726.1	0.53	0.53	0.632	0.632	NM	19.4	99.1	48	NM	118.4	78.4	42.1
"Inogen, Inc. (NasdaqGS:INGN)"	NasdaqGS:INGN	"1,956.90"	"1,828.70"	212.3	35.3	85.1	86.5			95.08	20.6		6.98	182.1	227.6	34.9	0.97	0.97	1.12	1.12	14.5	6.95	47.9	11.3		12.5	13.5	26.7
Inotek Pharmaceuticals Corporation (NasdaqGM:ITEK)	NasdaqGM:ITEK	25.1	40.5		41.5	NM	NM			0.93	27		22.1	73.2	117.9	54.7	1.6	1.6	1.62	1.62	53.5	23.5			77.6			
"Inovalon Holdings, Inc. (NasdaqGS:INOV)"	NasdaqGS:INOV	"1,824.90"	"1,550.60"	433.2	81.3	69	50.3			12.5	146		7.03	683.6	"1,027.70"	362.3	0.18	0.18	0.181	0.181	4.01	2.78	64.1	6.55	38.9	11.9	1.43	15.8
"Inovio Pharmaceuticals, Inc. (NasdaqGS:INO)"	NasdaqGS:INO	594	504.5	37.6	80.3	NM	NM			7.96	74.6		2.67	123.4	153.3	47.4	1.01	1.01	1.21	1.21	64.1	28.7	152.6	235.9				
Inphi Corporation (NYSE:IPHI)	NYSE:IPHI	"1,618.90"	"1,630.70"	305.8	68.4	110.8	NM			38.38	42.2		8.45	462.5	980.1	522.7	2.25	0.6	2.01	0.346	4.04	2.28	66.2	5.01	88.5	8.03	25.3	24.4
Inpixon (NasdaqCM:INPX)	NasdaqCM:INPX	1.89	9.46	52.6	11.6	NM	NM			0.775	2.44		0.448	2.71	54.6	57.1	15.6	15.2	15.5	15.1	344.3	17.7	26.5	54.2	NM			
Inseego Corp. (NasdaqGS:INSG)	NasdaqGS:INSG	70	159.3	232	8.42	NM	NM			1.25	56		0.895	17.7	165.6	191.8	1.12	1.12	1.18	1.18	NM	7.99	35.7	27.9	NM			
"Insight Enterprises, Inc. (NasdaqGS:NSIT)"	NasdaqGS:NSIT	"1,501.90"	"1,868.20"	"5,794.10"	209.9	16.6	32.9	1.93	7.08	42.01	35.8		1.58	713.4	"2,390.70"	"1,657.20"	2.32	2.32	2.53	2.53	12.9	5.16	13.6	1.58	75	22.1	15.1	
"Insignia Systems, Inc. (NasdaqCM:ISIG)"	NasdaqCM:ISIG	11.9	7.5	23.6	1.84	NM				1.02	11.7		3.61	15.1	19	4.94	0.111	0.111	0.185	0.185	11.2	8.22	24.6	9.13				
Insmed Incorporated (NasdaqGS:INSM)	NasdaqGS:INSM	"1,055.50"	984.7		173.7	NM	NM			17	62.1		5.66	154.5	200.7	79	2.85	2.85	2.91	2.91	89.2	41.7			45.2			
"Insperity, Inc. (NYSE:NSP)"	NYSE:NSP	"1,507.50"	"1,306.20"	"3,021.60"	120.4	22.1	32.7	18.9	7.5	71.55	21.1	1.68	1.1	60.5	928.5	842.1	3.09	3.09	3.24	3.24	97.3	7.38	16.6	2.28	120.9	20.5	17.5	16.5
"Inspired Entertainment, Inc. (NasdaqCM:INSE)"	NasdaqCM:INSE	266.4	371	113.6	19.8	NM	NM			11.9	22.4		1.08	296.1	201.5	194.5	6.21	6.21	2.99	2.99	NM	0.856	80.9	53.7	"1,667.10"			20
"InspireMD, Inc. (AMEX:NSPR)"	AMEX:NSPR	3.37	5.2	1.9	7.84	NM	NM			0.454	7.42		4.24	4.05	10.5	2.8	5.94	5.94	3.76	3.76	406	68	5.79					
"Installed Building Products, Inc. (NYSE:IBP)"	NYSE:IBP	"1,661.40"	"1,915.10"	927	110.1	42.2	24.5			52.3	31.8		1.59	154	610	438.4	1.23	1.23	1.24	1.24	26.7	8.76	29.1	4.21	162.2	61.7	40.6	24.3
"Insteel Industries, Inc. (NasdaqGS:IIIN)"	NasdaqGS:IIIN	638.3	598.1	413.8	67.7	18.3	20.8	47	1.38	33.55	19	4.08	3.56	224.6	271.2	58.6	1.95	1.95	1.84	1.84	17.1	13.4	19.7	8.52		14	13.8	16
"Instructure, Inc. (NYSE:INST)"	NYSE:INST	856	817.7	121.6	49.2	NM	NM			29.6	28.9		0.891	9.96	83.9	82.2	1.92	1.92	1.86	1.86	291.2	35.9	71.2	43.2				35
Insulet Corporation (NasdaqGS:PODD)	NasdaqGS:PODD	"2,938.10"	"3,020.80"	387.5	11.2	NM	NM			50.73	57.9		8.56	63.2	445	381.4	0.504	0.475	0.459	0.461	58.9	0.431	58.4	6.84	529.6			25
"INSYS Therapeutics, Inc. (NasdaqGM:INSY)"	NasdaqGM:INSY	876.4	721.1	217.8	3.16	NM				12.15	72.1		3.18	269.6	337.6	69.8	0.1	0.1	0.018	0.018	0.475	0.628	88.3	0.562				28
Intec Pharma Ltd. (TASE:NTEC)	TASE:NTEC	75.4	55.5		13.1	NM	NM			5.48	13.7		10.8	22.7	24.7	2.02	1.17	1.17	1.17	1.17	45.9	28						
Integer Holdings Corporation (NYSE:ITGR)	NYSE:ITGR	"1,363.10"	"3,010.30"	"1,400.00"	270.3	95.6	NM	15.9	6.36	43.55	31.3		2.59	725.2	"2,836.90"	"2,096.20"	0.19	0.19	0.455	0.455	1.94	3.86	27	1.02	229.9	9.17	12.7	12.7
Integra LifeSciences Holdings Corporation (NasdaqGS:IART)	NasdaqGS:IART	"4,157.60"	"4,876.80"	"1,013.90"	235.3	65.4	599.8	16.2	5.52	54.98	75.6		3.03	839.7	"2,049.00"	"1,196.50"	0.94	0.94	0.84	0.84	8.29	5.19	67	6.66	100.3	8.92	12.2	11.1
"Integrated Device Technology, Inc. (NasdaqGS:IDTI)"	NasdaqGS:IDTI	"3,503.00"	"3,384.20"	728.2	161.5	33.3	40.2	24.9		26.34	133		6.17	773.7	"1,183.60"	410	0.799	0.79	0.799	0.79	15.1	6.41	58.7	15	37.1	10.7	12.5	12.3
Intel Corporation (NasdaqGS:INTC)	NasdaqGS:INTC	"163,308.10"	"171,764.10"	"60,481.00"	"23,672.00"	15	1.34	0.457	9.77	34.68	"4,709.00"	3.14	1.69	"66,226.00"	"115,648.00"	"48,804.00"	2.12	2.12	2.31	2.31	17.6	9.02	61.8	18.6	38.5	4.96	4.26	8
Intellia Therapeutics Inc. (NasdaqGM:NTLA)	NasdaqGM:NTLA	621.9	364.3	20.9	36.8	NM	NM			17.26	36		10.5	209.8	279.3	79.4	1.42	1.42	1.22	1.22	28.8	13.5	91.5	179.6				
"Intellicheck, Inc. (AMEX:IDN)"	AMEX:IDN	37.7	35.4	3.6	4.11	NM	NM			3.51	10.8		2.36	12.9	13.6	1.49	0.58	0.58	0.446	0.446	35.5	19.2	80.1	125.7				
Intelligent Systems Corporation (AMEX:INS)	AMEX:INS	33	16	8.28	0.534	NM	NM			3.77	8.74		7.85	18.9	21	2.51	0.13	0.13	0.073	0.073	3.67	2.38	49.7	8.33				
IntelliPharmaCeutics International Inc. (TSX:IPCI)	TSX:IPCI	79.4	79.2	4.36	9.05	NM	NM			2.6	30.6		0.899	1.12	7.78	6.97	0.38	0.38	0.333	0.333	NM	101.8	92.1	225.2	157.7			
Intelsat S.A. (NYSE:I)	NYSE:I	373	"14,239.30"	"2,173.90"	"1,604.20"	0.396	NM			3.14	118.8		1.21	"3,610.00"	"12,911.90"	"16,551.40"	8.36	8.36	7.93	7.93	NM	4.22	84.4	43.4	NM			10.6
"Inter Parfums, Inc. (NasdaqGS:IPAR)"	NasdaqGS:IPAR	"1,123.60"	"1,088.00"	552.6	86.3	28.6	40.8	1.92	7.47	36.05	31.2	1.89	3.32	483.7	704.1	200.4	1.07	1.07	1.26	1.26	10.3	6.74	55.2	9.4	13.9	14.2	13.8	14.8
"Interactive Brokers Group, Inc. (NasdaqGS:IBKR)"	NasdaqGS:IBKR	"2,576.70"		"1,356.00"		34.8	26.3	2.74	22	37.9	68	1.06	1.12	"5,820.00"	"56,257.00"	"50,247.00"	1.25	1.25	1.09	1.09	10	1.1	79.8	43.1	77.2	14.3	13	16.9
"Intercept Pharmaceuticals, Inc. (NasdaqGS:ICPT)"	NasdaqGS:ICPT	"3,212.40"	"2,949.20"	45.6	355.2	NM	NM			128.45	25		8.74	314.9	668	427.8	16.7	16.7	15.2	15.2	103.2	35.6	99.8		143.5			
"Intercontinental Exchange, Inc. (NYSE:ICE)"	NYSE:ICE	"38,810.00"	"44,565.00"	"4,509.00"	"2,740.00"	25.3	10.6	12.5	16.2	65.55	592.1	1.22	0.983	"15,790.00"	"79,463.00"	"63,639.00"	2.37	2.37	2.59	2.59	10.2	1.8	100	35.1	39.5	8.33	10.7	11.2
InterContinental Hotels Group PLC (LSE:IHG)	LSE:IHG	"10,493.40"	"12,077.50"	"1,715.00"	757	26.1	68.6	2.43	3.44	55.94	187.6	5.54	0.686	759	"2,927.00"	"3,686.00"	2.02	2.02	2.02	2.02	NM	13.1	66.2	24.3	NM	13	11.2	10.9
"InterDigital, Inc. (NasdaqGS:IDCC)"	NasdaqGS:IDCC	"2,630.60"	"2,033.40"	652.6	476.3	8.53	170.9	39.7	7.75	75.85	34.7	1.58	3.24	754.4	"1,865.40"	"1,105.20"	8.78	8.78	8.89	8.89	49.2	16.8	82.3	47.7	36.2	63.7	41.9	22
"Interface, Inc. (NasdaqGS:TILE)"	NasdaqGS:TILE	"1,190.20"	"1,333.20"	957.2	137.7	24.9	31.4	17.8	0.76	18.95	62.8	1.27	2.58	340.7	773.7	442.7	0.83	0.83	0.761	0.761	14.4	8.63	38.6	5.2	67.4	10.8	13.5	14
"Interlink Electronics, Inc. (NasdaqCM:LINK)"	NasdaqCM:LINK	65.4	59	12	2.84	24.8	33.4			8.91	7.33		13.4	9.6	10.7	0.722	0.39	0.39	0.36	0.36	30.6	18.4	59.1	22.2				
"Intermolecular, Inc. (NasdaqGS:IMI)"	NasdaqGS:IMI	47.1	19.6	42.7	6.23	NM	NM			0.95	49.6		4.64	45	50	10.2	0.313	0.313	0.396	0.396	40.8	16.9	67.2	45.9	0.143			
Internap Corporation (NasdaqGS:INAP)	NasdaqGS:INAP	322.1	642.6	294.5	65.4	NM	NM			4.03	79.9		0.689	3.72	415.1	385.8	2.38	2.38	2.22	2.22	180.4	0.157	48.1	41.9	"1,125.00"			3
International Bancshares Corporation (NasdaqGS:IBOC)	NasdaqGS:IBOC	"2,305.30"		492.1		17.5	0.507	3.8		34.9	66.1	1.89		"1,724.70"	"11,965.90"	"10,217.30"	2.02	2.02	2	2	7.71	1.12		27				
International Business Machines Corporation (NYSE:IBM)	NYSE:IBM	"144,908.00"	"177,120.00"	"79,390.00"	"17,944.00"	12.7	8.36	1.92	6.96	154.24	939.5	3.89	1.18	"18,392.00"	"117,495.00"	"99,047.00"	12.4	12.4	12.2	12.2	69.3	7.13	47.1	14.6	231.9	0.835	1.14	3.95
International Flavors & Fragrances Inc. (NYSE:IFF)	NYSE:IFF	"10,560.80"	"11,818.30"	"3,161.30"	662.6	26.6	0.56	9.32	6.86	133.73	79	1.91	1.74	"1,631.10"	"4,252.30"	"2,620.70"	5.05	5.05	5.03	5.03	24.6	8.33	44.9	12.7	95.2	4.14	6.59	7.55
International Game Technology PLC (NYSE:IGT)	NYSE:IGT	"3,775.30"	"11,173.60"	"5,024.90"	"1,488.90"	15.1	NM	0.842		18.65	202.4	4.29	0.835	"3,648.80"	"14,931.20"	"11,327.90"	1.05	1.05	1.23	1.23	9.39	2.77	38.2	6.45	218.2	33.4	13.9	1
International Paper Company (NYSE:IP)	NYSE:IP	"24,009.90"	"34,307.90"	"21,480.00"	"2,851.00"	31.1	18.8	6.65	11.3	58.15	412.9	3.18	1.58	"4,359.00"	"33,301.00"	"28,707.00"	2.18	2.19	1.87	1.87	17.6	3.04	28.1	3.62	245.5	7.69	13.3	10.5
"International Seaways, Inc. (NYSE:INSW)"	NYSE:INSW	645.5	984.3	358.4	118.3	NM				22.1	29.2		3.05	"1,179.50"	"1,683.30"	482.1	0.625	0.625	2.06	2.06	4.69	1.91	45.6	16.8	36.6	63.2	26.5	
International Speedway Corporation (NasdaqGS:ISCA)	NasdaqGS:ISCA	"1,499.60"	"1,450.10"	664.1	215.7	21.9	1.87	1.31	1.72	33.5	44.7	1.28	2.32	"1,400.40"	"2,241.40"	840.3	1.66	1.66	1.53	1.53	4.95	3.15	49.2	10.4	18.7	4.51	7.09	8
International Tower Hill Mines Ltd. (TSX:ITH)	TSX:ITH	80.7	73.7		5.81	NM	NM			0.498	162.2		9.08	62.8	62	0.749	0.062	0.062	0.05	0.05	12	5.93						
Internet Gold Golden Lines Ltd. (NasdaqGS:IGLD)	NasdaqGS:IGLD	167.8	"4,245.90"	"2,747.70"	"1,042.80"	NM				8.74	19.2		1.02	711.1	"5,593.20"	"4,776.10"	2.73	2.73	2.32	2.32	15.8	5.33	79.7	5.21	469.6			
Internet Initiative Japan Inc. (NasdaqGS:IIJI)	NasdaqGS:IIJI	811.1	915.4	"1,415.10"	118.5	29	21.1	5.08	6.29	9	90.1	1.33	1.59	604.3	"1,232.20"	627.9	0.31	0.31	0.31	0.31	5.02	2.55	16	2.11	48.9			
"Interpace Diagnostics Group, Inc. (NasdaqCM:IDXG)"	NasdaqCM:IDXG	16.1	13.3	13.5	10	NM	NM			0.861	18.7		0.818	6.53	47	22.4	4.59	4.63	0.466	1.04	15.5	17.1	46.5	18.8	17.8			
"Intersect ENT, Inc. (NasdaqGM:XENT)"	NasdaqGM:XENT	834.4	736	82.5	23.4	NM	NM			29	28.8		9.47	114.4	123.7	13.5	0.887	0.887	0.83	0.83	20.2	11.8	84.6	28.7				20
Intersections Inc. (NasdaqGM:INTX)	NasdaqGM:INTX	113.2	121.5	170.5	16.5	NM	NM			4.74	23.9	0	0.882	7.37	47.2	44	1.31	1.31	1.32	1.32	185.9	18	68.7	18.2	422.9			
InterXion Holding N.V. (NYSE:INXN)	NYSE:INXN	"3,251.80"	"4,007.50"	463.8	201.1	75.5	26.7	4.02		45.79	71		0.897	579.3	"1,679.60"	"1,075.70"	0.591	0.591	0.606	0.606	7.5	4.3	61.4	9.33	138	29	22	14.8
inTEST Corporation (AMEX:INTT)	AMEX:INTT	74.3	46.8	45.8	8.38	16.1	213.1	11.7	12.4	7.26	10.2		6.46	37.8	46.4	6.43	0.258	0.258	0.45	0.45	12.3	11.3	52.5	10.2				
"Intevac, Inc. (NasdaqGS:IVAC)"	NasdaqGS:IVAC	254	213.2	96.8	5.42	NM	NM		34.4	11.85	21.4		3.07	73.3	108.7	32.1	0.36	0.36	0.033	0.033	0.934	0.47	40.9	0.716				
INTL FCStone Inc. (NasdaqGS:INTL)	NasdaqGS:INTL	703.4		"19,147.20"		14.5	11.2	20.4	45.2	37.66	18.7		1.09	433.8	"6,528.60"	"6,072.90"	2.9	2.9	2.6	2.6	11.3	0.799	2.18	0.254	446	12.1	12.8	
"IntraCellular Therapies, Inc. (NasdaqGS:ITCI)"	NasdaqGS:ITCI	518	150.2	0.426	117.3	NM	NM			11.93	43.4		22.8	375.5	372.3	19.3	2.69	2.69	2.67	2.67	28.7	17.6						
"Intrawest Resorts Holdings, Inc. (NYSE:SNOW)"	NYSE:SNOW	944.2	"1,331.90"	601.6	126.7	28.3	19.7			23.71	39.8		2.14	260	"1,117.40"	767.5	0.94	0.94	0.839	0.839	10.3	3.78	26.5	5.73	164.6		312.8	
"Intrepid Potash, Inc. (NYSE:IPI)"	NYSE:IPI	353.6	420.9	140.2	8.42	NM	NM			2.74	129.1		6.03	363.4	539.1	131	0.88	0.88	0.807	0.807	15.1	4.94	15.6	44.1	21.6			
Intrexon Corporation (NYSE:XON)	NYSE:XON	"2,782.30"	"2,607.10"	201.2	89.6	NM	NM			23.13	120.3		3.11	569.2	915.9	365.8	1.58	1.58	1.3	1.3	25.7	7.72	9.22	78.2	1.53			45.2
IntriCon Corporation (NasdaqGM:IIN)	NasdaqGM:IIN	53	64.9	70	0.063	NM				7.75	6.84		1.59	19	45	26.5	0.706	0.434	0.75	0.489	20.2	3.29	25.2	5.41	65.8			20
Intuit Inc. (NasdaqGS:INTU)	NasdaqGS:INTU	"34,046.10"	"32,953.10"	"5,089.00"	"1,580.00"	38.2	26.2	6.99	10.8	132.88	256.2	1.02	0.904	"1,161.00"	"4,969.00"	"3,272.00"	3.69	3.04	3.48	3.48	61.6	17.1	84.6	17.8	29.5	16	15.3	15.9
"Intuitive Surgical, Inc. (NasdaqGS:ISRG)"	NasdaqGS:ISRG	"35,063.20"	"33,598.40"	"2,784.10"	"1,077.10"	48	20.3	8.43	25	951.75	36.8		3.88	"5,777.80"	"4,808.00"	680.5	18.7	18.7	19.8	19.8	17.6	12.2	70.4	28		5.54	10.6	11.9
"Inuvo, Inc. (AMEX:INUV)"	AMEX:INUV	28.8	28.6	70	0.48	NM				1.01	28.5		0.829	11.5	34.9	20.4	0.034	0.04	0.116	0.122	22.8	5.19	64.3	4.27	25.5			22.5
Invacare Corporation (NYSE:IVC)	NYSE:IVC	449.1	521.8	"1,021.60"	8.17	NM	NM			13.7	32.8	0.365	1.82	422.4	868.8	461.6	1.32	1.32	1.57	1.57	11.6	1.54	27.5	4.99	36.7			10
"Inventure Foods, Inc. (NasdaqGS:SNAK)"	NasdaqGS:SNAK	72.6	167.1	261.5	3.98	NM	NM			3.69	19.7		0.542	23.7	143.9	134	1.54	1.54	2.21	1.61	102.4	1.21	12.2	12.1	970.6			15
Invesco Mortgage Capital Inc. (NYSE:IVR)	NYSE:IVR	"1,847.10"		549.9		4.35	NM	4.47		16.55	111.6	9.67	0.053	"2,270.20"	"16,707.30"	"14,383.70"	1.98	1.98	3.81	3.81	22.5	3.09	100	91.7	612.6	3.24	2.06	0
Investar Holding Corporation (NasdaqGM:ISTR)	NasdaqGM:ISTR	201.6		38.1		21.2	10.2			22.9	8.8	0.384		112.8	"1,175.80"	"1,027.50"	1.1	1.1	1.08	1.08	5.97	0.689		20.3		1.36	16.4	19
"Investment Technology Group, Inc. (NYSE:ITG)"	NYSE:ITG	714.3		460.6		NM				21.55	33.1	1.3	1.45	405.2	884.7	481.4	0.79	0.79	0.551	0.551	4.27	1.45	68.3	3.93	49.4	650.5	283	
"Investors Bancorp, Inc. (NasdaqGS:ISBC)"	NasdaqGS:ISBC	"4,078.20"		672.2		19.9	15.6	17.9		13.14	310.4	2.44		"3,123.20"	"23,888.70"	"20,730.20"	0.64	0.64	0.66	0.66	6.07	0.858		28.8		2.05	8.08	8.37
Investors Title Company (NasdaqGS:ITIC)	NasdaqGS:ITIC	354.2	328.5	151.4	33.7	16.1	82.2	27.7	8.93	187.78	1.89	0.746	0.959	155.1	233.2	72.9	10.2	10.2	11.7	11.7	14.6	9.08	54.2	14.6				
Invitae Corporation (NYSE:NVTA)	NYSE:NVTA	414.8	359.7	31.4	95.6	NM	NM			9.66	42.9		5.45	99.1	152.6	70.3	3.02	3.02	2.84	2.84	103.2	43.3	0.671		50.7			
Invitation Homes Inc. (NYSE:INVH)	NYSE:INVH	"6,685.50"	"12,201.50"	936.8	424.8	NM				21.54	310.4	1.11	4.2	"1,957.40"	"9,588.20"	"5,930.10"	0.252	0.252	0.302	0.302	3.99		57.5	11.8	156.2			9
InVivo Therapeutics Holdings Corp. (NasdaqGM:NVIV)	NasdaqGM:NVIV	72.3	47.4		24.6	NM	NM			2.25	32.2		6.67	28.9	29	4.98	0.76	0.76	0.73	0.73	70.9	41			4.89			
"Invuity, Inc. (NasdaqGM:IVTY)"	NasdaqGM:IVTY	146	133.8	35.1	35.4	NM	NM			8.6	17		3.88	34.4	56.5	34.2	2.73	2.73	2.65	2.65	157.6	42.2	74.9	118.9	100.2			25
ION Geophysical Corporation (NYSE:IO)	NYSE:IO	42.7	151.3	182.7	31.9	NM	NM			3.6	11.9		1.02	53.4	298.1	266.4	5.72	5.72	4.57	4.57	98.4	4.53	28.8	28.9	495.2			
"Ionis Pharmaceuticals, Inc. (NasdaqGS:IONS)"	NasdaqGS:IONS	"6,396.60"	"6,132.20"	420.1	33.5	NM	NM			51.6	124		5.64	99.6	"1,084.00"	882.2	0.716	0.716	0.166	0.166	11.2	1.55	18.1	4.8	295.3			
"Iovance Biotherapeutics, Inc. (NasdaqGM:IOVA)"	NasdaqGM:IOVA	405.3	258.1		57.1	NM	NM			6.5	62.4		27.7	166.9	155.4	5.5	1.85	1.85	1.98	1.98	53.6	28.3						
iPass Inc. (NasdaqGS:IPAS)	NasdaqGS:IPAS	84.9	71.6	62.8	6.53	NM	NM			1.29	65.8		1.97	18.6	29.1	14.4	0.121	0.121	0.129	0.129	49.8	15.7	32.7	13.3	1.7			
IPG Photonics Corporation (NasdaqGS:IPGP)	NasdaqGS:IPGP	"8,347.50"	"7,524.90"	"1,084.80"	457.4	29.3	21.5	15.8	31.1	155.5	53.7		8.82	"1,557.70"	"1,902.60"	236.3	4.85	4.85	5.31	5.31	19	14.6	54.9	26.4	2.4	24.5	18	19.7
IRadimed Corporation (NasdaqCM:IRMD)	NasdaqCM:IRMD	91.4	66.1	28.7	7.47	21.3	40.1			8.5	10.7		9.32	31.9	37.4	5.39	0.6	0.6	0.4	0.4	15.3	12.7	79.7	16.4		98.3	53.5	17.5
